Advert Reference,Property Reference,Property Address,Bid Opening Date,Bid Closing Date,Number Of Bedrooms,Number Of Bedspaces,Total Bidders,Successful Bid Points,Ward Code,Ward Name,Lower Super Output Area Code,Lower Super Output Area Name,Easting,Northing,Longitude,Latitude,Location,Spatial Accuracy,Last Uploaded,Organisation URI
102401,19575,"Flat 181,Mayford,Oakley Square,London,NW1 1PA",23/06/2016,27/06/2016,2,4,493,600,E05000143,St Pancras and Somers Town,E01000952,,529465,183312,-0.134842,51.533877,"(51.533877, -0.134842)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
199144,21832,"Flat 22, Oak House, Maitland Park Villas, London, NW3 2ED",15/09/2016,19/09/2016,2,4,477,525,E05000136,Haverstock,E01000902,,527855,184869,-0.157476,51.548236,"(51.548236, -0.157476)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
288670,29672,"Flat 13, Tapestry Apartments, 3 Canal Reach, London, N1C 4BA",29/09/2016,03/10/2016,2,4,380,160,E05000143,St Pancras and Somers Town,E01000953,,529910,183793,-0.128227,51.5381,"(51.5381, -0.128227)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
185812,17229,"Flat 14, Nigel House, Portpool Lane, London, EC1N 7UN",21/09/2017,25/09/2017,1,2,124,300,E05000138,Holborn and Covent Garden,E01000917,,531207,181887,-0.110272,51.52067,"(51.52067, -0.110272)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286055,29062,"Flat D, 62 West End Lane, London, NW6 2NE",12/05/2016,16/05/2016,2,3,447,57,E05000144,Swiss Cottage,E01000965,,525447,184283,-0.192394,51.54351,"(51.54351, -0.192394)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
181018,38984,"Flat B,70 Highgate Road,London,NW5 1PA",11/02/2016,15/02/2016,2,4,489,650,E05000139,Kentish Town,E01000928,,528782,185532,-0.143872,51.553984,"(51.553984, -0.143872)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
189433,14734,"Flat 106, Dorney, Adelaide Road, London, NW3 3PN",09/02/2017,13/02/2017,2,4,430,490,E05000128,Belsize,E01000846,,527370,184400,-0.164637,51.544131,"(51.544131, -0.164637)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
194721,38566,"Flat B, 5 Iverson Road, London, NW6 2QT",11/02/2016,15/02/2016,2,4,514,600,E05000145,West Hampstead,E01000974,,524923,184625,-0.199825,51.5467,"(51.5467, -0.199825)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
181691,28451,"Flat 49, O'Donnell Court, Brunswick Centre, London, WC1N 1NZ",03/08/2017,07/08/2017,2,4,308,1230,E05000129,Bloomsbury,E01000853,,530278,182324,-0.123493,51.524812,"(51.524812, -0.123493)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
286144,31193,"Flat 10, St Joans House, Phoenix Road, London, NW1 1SY",31/08/2017,04/09/2017,3,4,175,220,E05000143,St Pancras and Somers Town,E01000955,,529580,182927,-0.133327,51.530391,"(51.530391, -0.133327)",Postcode Level,03/01/2018,http://opendatacommunities.org/id/london-borough-council/camden
